brand,model,year,mileage_km,fuel_type,transmission,engine_cc,seats,owner_count,price,car_age
Toyota,Corolla,2023,11022.0,Petrol,Automatic,1656.0,5,4,971315.1,1
Mahindra,Thar,2018,84740.0,CNG,Automatic,1937.0,4,3,801033.25,6
Maruti,Brezza,2024,82282.0,CNG,Automatic,1163.0,5,3,366299.42,0
Mercedes,C Class,2022,47291.0,CNG,Automatic,1960.0,7,3,776649.63,2
Mercedes,GLC,2020,23731.0,Electric,Automatic,2472.0,5,1,1345190.63,4
KIA,Carnival,2023,8895.0,Electric,Manual,1129.0,5,2,944971.06,1
Toyota,Fortuner,2019,2337.0,Diesel,Automatic,1736.0,5,3,950308.18,5
Maruti,Brezza,2021,87083.0,CNG,Manual,2079.0,7,4,741435.03,3
Ford,Endeavour,2016,16899.0,Diesel,Automatic,1949.0,5,3,1186641.2,8
Toyota,Yaris,2024,172712.0,Petrol,Automatic,2047.0,5,3,625903.78,0
Hyundai,Elantra,2020,44658.0,CNG,Manual,1851.0,5,1,864014.32,4
Tata,Harrier,2022,117731.0,Petrol,Automatic,2060.0,5,2,732495.09,2
Mahindra,Thar,2018,121489.0,Electric,Manual,1935.0,5,3,898189.45,6
Mahindra,XUV700,2023,89594.0,CNG,Automatic,1025.0,5,4,829110.06,1
Mahindra,Bolero,2013,159143.0,Diesel,Manual,2177.0,4,2,936299.67,11
Mahindra,Bolero,2014,20636.0,Diesel,Manual,1659.0,7,1,1201442.81,10
Hyundai,Creta,2019,42738.0,CNG,Automatic,987.0,5,2,1014590.91,5
Honda,Civic,2021,46036.0,Diesel,Manual,1595.0,4,1,795589.36,3
KIA,Seltos,2022,25066.0,Diesel,Automatic,1639.0,4,3,1060963.77,2
Mercedes,C Class,2018,53623.0,Diesel,Automatic,1047.0,5,3,1024552.41,6
Hyundai,Venue,2020,56833.0,Diesel,Manual,2593.0,5,4,682867.03,4
BMW,5 Series,2019,137852.0,Electric,Manual,1278.0,4,4,637621.14,5
Honda,City,2024,54851.0,Petrol,Manual,1462.0,5,1,702047.61,0
Tata,Harrier,2020,157906.0,Electric,Manual,1649.0,5,1,768274.29,4
Mahindra,Bolero,2018,139263.0,Diesel,Manual,2315.0,5,2,861893.56,6
Maruti,Swift,2024,162374.0,CNG,Automatic,2162.0,5,1,610229.8,0
Mercedes,E Class,2014,19656.0,Petrol,Manual,2210.0,5,4,1278754.11,10
KIA,Sonet,2024,177234.0,Diesel,Automatic,1303.0,5,1,620425.73,0
Hyundai,Verna,2014,110822.0,Electric,Manual,2337.0,4,1,1058586.4,10
Mercedes,E Class,2016,176840.0,Diesel,Automatic,2310.0,4,4,927137.2,8
Mercedes,GLA,2022,64387.0,Electric,Automatic,1688.0,5,4,863678.82,2
Ford,Figo,2021,171577.0,CNG,Manual,1827.0,5,1,585195.81,3
Toyota,Fortuner,2024,106278.0,Petrol,Automatic,963.0,7,2,574669.16,0
Hyundai,Venue,2021,13670.0,Diesel,Manual,1736.0,7,3,1108845.56,3
KIA,Seltos,2020,74294.0,Diesel,Manual,2533.0,5,3,848240.49,4
Toyota,Corolla,2017,25492.0,CNG,Automatic,1703.0,5,4,1068605.41,7
KIA,Seltos,2013,169477.0,CNG,Automatic,1818.0,5,2,832008.71,11
KIA,Sonet,2014,55360.0,CNG,Manual,1748.0,5,1,1066016.82,10
Ford,Endeavour,2016,40647.0,Electric,Manual,1040.0,5,2,980238.14,8
Maruti,Vitara,2013,99879.0,Petrol,Manual,1953.0,5,3,814865.86,11
